Name of City,State,Type,Population (2011),Population class
Virudhachalam,Tamil Nadu,Municipality,"73,585",Class II
Kanhangad,Kerala,Municipality,"73,342",Class II
Kadi,Gujarat,Municipality,"73,228",Class II
Srivilliputhur,Tamil Nadu,Municipality,"73,183",
Gobindgarh,Punjab,Municipal Council,"73,130",Class II
Tindivanam,Tamil Nadu,Municipality,"72,796",Class II
Mansa,Punjab,Municipal Council,"72,627",
Taliparamba,Kerala,Municipality,"72,465",Class II
Manmad,Maharashtra,Municipal Council,"72,401",
Tanuku,Andhra Pradesh,Municipality,"72,348",Class II
Rayachoti,Andhra Pradesh,Census town,"72,297",
Virudhunagar,Tamil Nadu,Municipality,"72,296",Class II
Koyilandy,Kerala,Municipality,"71,873",Class II
Jorhat,Assam,Municipal board,"71,782",Class II
Karur,Tamil Nadu,Municipality,"70,980",Class II
Valparai,Tamil Nadu,Municipality,"70,859",Class II
Srikalahasti,Andhra Pradesh,Municipality,"70,854",
Neyyattinkara,Kerala,Municipality,"70,850",Class II
Bapatla,Andhra Pradesh,Municipality,"70,777",Class II
Fatehabad,Haryana,Municipal Council,"70,777",Class II
Malout,Punjab,Municipal Council,"70,765",
Sankarankovil,Tamil Nadu,Municipality,"70,574",Class II
Tenkasi,Tamil Nadu,Municipality,"70,545",Class II
Ratnagiri,Maharashtra,Municipal Council,"70,383",
Rabkavi Banhatti,Karnataka,City Municipal Council,"70,248",
Sikandrabad,Uttar Pradesh,Municipal board,"69,867",
Chaibasa,Jharkhand,Nagar Palika Parishad,"69,565",Class II
Chirmiri,Chhattisgarh,Municipal Corporation / Corporation.,"69,307",Class II
Palwancha,Telangana,Municipality,"69,088",
Bhawanipatna,Odisha,Municipality,"69,045",Class II
Kayamkulam,Kerala,Municipality,"68,634",Class II
Pithampur,Madhya Pradesh,Nagar Panchayat,"68,080",
Nabha,Punjab,Municipal Council,"67,972",Class II
"Shahabad, Hardoi",Uttar Pradesh,Municipal board,"67,751",
Dhenkanal,Odisha,Municipality,"67,414",Class II
Uran Islampur,Maharashtra,Municipal Council,"67,391",Class II
Gopalganj,Bihar,Nagar Panchayat,"67,339",Class II
Bongaigaon City,Assam,Municipal board,"67,322",Class II
Palani,Tamil Nadu,Municipality,"67,231",
Pusad,Maharashtra,Municipal Council,"67,116",
Sopore,Jammu and Kashmir,Urban Agglomeration,"66,963",
Pilkhuwa,Uttar Pradesh,Municipal board,"66,907",
Tarn Taran,Punjab,Municipal Council,"66,847",Class II
Renukoot,Uttar Pradesh,Urban Agglomeration,"66,597",
Mandamarri,Telangana,Municipality,"66,596",
Shahabad,Karnataka,Urban Agglomeration,"66,550",
Barbil,Odisha,Municipality,"66,540",Class II
Koratla,Telangana,Municipality,"66,504",Class II
Madhubani,Bihar,Municipality,"66,340",
Arambagh,West Bengal,Municipality,"66,175",Class II
Gohana,Haryana,Municipal Committee,"65,708",Class II
Ladnu,Rajasthan,Municipality,"65,575",Class II
Pattukkottai,Tamil Nadu,Municipality,"65,533",
Sirsi,Karnataka,Urban Agglomeration,"65,335",
Sircilla,Telangana,Municipality,"65,314",
Tamluk,West Bengal,Municipality,"65,306",Class II
Jagraon,Punjab,Municipal Council,"65,240",Class II
AlipurdUrban Agglomerationr,West Bengal,Municipality,"65,232",Class II
Alirajpur,Madhya Pradesh,Municipality,"65,232",Class II
Tandur,Telangana,Municipality,"65,115",Class II
Naidupet,Andhra Pradesh,Municipality,"65,000",Class II
Tirupathur,Tamil Nadu,Municipality,"64,125",Class II
Tohana,Haryana,Municipal Committee,"63,871",Class II
Ratangarh,Rajasthan,Municipality,"63,486",
Dhubri,Assam,Municipal board,"63,388",Class II
Masaurhi,Bihar,Nagar Parishad,"63,248",
Visnagar,Gujarat,Municipality,"63,073",Class II
Vrindavan,Uttar Pradesh,Municipal board,"63,005",Class II
Nokha,Rajasthan,Municipality,"62,699",Class II
Nagari,Andhra Pradesh,Municipality,"62,253",Class II
Narwana,Haryana,Municipal Council,"62,090",Class II
Ramanathapuram,Tamil Nadu,Municipality,"62,050",
Ujhani,Uttar Pradesh,Nagar Palika Parishad.,"62,039",Class II
Samastipur,Bihar,Urban Agglomeration,"61,998",
Laharpur,Uttar Pradesh,Nagar Palika Parishad,"61,990",Class II
Sangamner,Maharashtra,Municipal Council,"61,958",
Nimbahera,Rajasthan,Municipality,"61,949",Class II
Siddipet,Telangana,Municipality,"61,809",
Suri,West Bengal,Municipality,"61,806",
Diphu,Assam,Town Committee / Town Area Committee,"61,797",Class II
Jhargram,West Bengal,Municipality,"61,712",Class II
Shirpur-Warwade,Maharashtra,Municipal Council,"61,694",
Tilhar,Uttar Pradesh,Nagar Palika Parishad.,"61,444",Class II
Sindhnur,Karnataka,Town Municipal Council,"61,262",
Udumalaipettai,Tamil Nadu,Municipality,"61,133",Class II
Malkapur,Maharashtra,Municipal Council,"61,012",
Wanaparthy,Telangana,Municipality,"60,949",Class II
Gudur,Andhra Pradesh,Municipality,"60,625",Class II
Kendujhar,Odisha,Municipality,"60,590",Class II
Mandla,Madhya Pradesh,Urban Agglomeration,"60,542",
Mandi,Himachal Pradesh,Municipal Council,"60,387",
Nedumangad,Kerala,Municipality,"60,161",Class II
North Lakhimpur,Assam,Municipal board,"59,814",Class II
Vinukonda,Andhra Pradesh,Municipality,"59,725",Class II
Tiptur,Karnataka,City Municipal Council,"59,543",Class II
Gobichettipalayam,Tamil Nadu,Municipality,"59,523",Class II
Sunabeda,Odisha,Notified area committee / Notified Area Council,"58,884",
Wani,Maharashtra,Municipal Council,"58,840",Class II
Upleta,Gujarat,Municipality,"58,775",Class II
Narasapuram,Andhra Pradesh,Municipality,"58,770",Class II
Nuzvid,Andhra Pradesh,Municipality,"58,590",Class II
Tezpur,Assam,Municipal board.,"58,559",Class II
Una,Gujarat,Municipality,"58,528",Class II
Markapur,Andhra Pradesh,Municipality,"58,462",
Sheopur,Madhya Pradesh,Urban Agglomeration,"58,342",
Thiruvarur,Tamil Nadu,Municipality,"58,301",Class II
Sidhpur,Gujarat,Urban Agglomeration,"58,194",
Sahaswan,Uttar Pradesh,Municipal board,"58,184",
Suratgarh,Rajasthan,Municipality,"58,119",
Shajapur,Madhya Pradesh,Urban Agglomeration,"57,818",
Rayagada,Odisha,Municipality,"57,759",
Lonavla,Maharashtra,Municipal Council,"57,698",Class II
Ponnur,Andhra Pradesh,Municipality,"57,640",
Kagaznagar,Telangana,Municipality,"57,583",Class II
Gadwal,Telangana,Municipality,"57,569",Class II
Bhatapara,Chhattisgarh,Municipality,"57,537",Class II
Kandukur,Andhra Pradesh,Municipality,"57,246",Class II
Sangareddy,Telangana,Municipality,"57,113",
Unjha,Gujarat,Municipality,"57,108",Class II
Lunglei,Mizoram,Notified Town,"57,011",Class II
Karimganj,Assam,Municipal board,"56,854",Class II
Kannur,Kerala,Municipality,"56,823",Class II
Bobbili,Andhra Pradesh,Municipality,"56,819",Class II
Mokameh,Bihar,Municipality,"56,615",
Talegaon Dabhade,Maharashtra,Municipal Council,"56,435",Class II
Anjangaon,Maharashtra,Municipal Council,"56,380",Class II
Mangrol,Gujarat,Urban Agglomeration,"56,320",
Sunam,Punjab,Urban Agglomeration,"56,251",
Gangarampur,West Bengal,Municipality,"56,175",Class II
Thiruvallur,Tamil Nadu,Municipality,"56,074",Class II
Tirur,Kerala,Municipality,"56,058",Class II
Rath,Uttar Pradesh,Municipal board,"55,950",
Jatani,Odisha,Municipality,"55,925",Class II
Viramgam,Gujarat,Municipality,"55,821",Class II
Rajsamand,Rajasthan,Municipality,"55,687",
Yanam,Puducherry,Municipality,"55,626",Class II
Kottayam,Kerala,Municipality,"55,374",Class II
Panruti,Tamil Nadu,Municipality,"55,346",
Dhuri,Punjab,Municipal Council,"55,225",Class II
Namakkal,Tamil Nadu,Municipality,"55,145",Class II
Kasaragod,Kerala,Municipality,"54,172",Class II
Modasa,Gujarat,Municipality,"54,135",
Rayadurg,Andhra Pradesh,Municipality,"54,125",
Supaul,Bihar,Municipality,"54,085",
Kunnamkulam,Kerala,Municipality,"54,071",Class II
Umred,Maharashtra,Municipal Council,"53,971",Class II
Bellampalle,Telangana,Municipality,"53,958",Class II
Sibsagar,Assam,Municipal board,"53,854",
Mandi Dabwali,Haryana,Municipal Committee,"53,811",
Ottappalam,Kerala,Municipality,"53,792",Class II
Dumraon,Bihar,Notified area committee / Notified Area Council,"53,618",Class II
Samalkot,Andhra Pradesh,Municipality,"53,602",
Jaggaiahpet,Andhra Pradesh,Municipality,"53,530",Class II
Goalpara,Assam,Municipal board,"53,430",Class II
Tuni,Andhra Pradesh,Municipality,"53,425",Class II
Lachhmangarh,Rajasthan,Municipality,"53,392",Class II
Bhongir,Telangana,Municipality,"53,339",Class II
Amalapuram,Andhra Pradesh,Municipality,"53,231",Class II
Firozpur Cantt.,Punjab,Cantonment Board / Cantonment,"53,199",Class II
Vikarabad,Telangana,Municipality,"53,143",Class II
Thiruvalla,Kerala,Municipality,"52,883",Class II
Sherkot,Uttar Pradesh,Municipal board,"52,880",
Palghar,Maharashtra,Municipal Council,"52,677",
Shegaon,Maharashtra,Municipal Council,"52,423",
Jangaon,Telangana,Municipality,"52,394",Class II
Bheemunipatnam,Andhra Pradesh,Municipality,"52,110",Class II
Panna,Madhya Pradesh,Urban Agglomeration,"52,057",
Thodupuzha,Kerala,Municipality,"52,045",Class II
KathUrban Agglomeration,Jammu and Kashmir,Municipal Council,"51,991",Class II
Palitana,Gujarat,Municipality,"51,944",
Arwal,Bihar,Nagar Panchayat.,"51,849",Class II
Venkatagiri,Andhra Pradesh,Municipality,"51,708",Class II
Kalpi,Uttar Pradesh,Nagar Palika Parishad,"51,670",Class II
Rajgarh (Churu),Rajasthan,Urban Agglomeration,"51,640",
Sattenapalle,Andhra Pradesh,Municipality,"51,404",
Arsikere,Karnataka,Town Municipal Council,"51,336",Class II
Ozar,Maharashtra,Census town,"51,297",Class II
Thirumangalam,Tamil Nadu,Municipality,"51,194",Class II
Petlad,Gujarat,Municipality,"51,147",
Nasirabad,Rajasthan,Cantonment Board / Cantonment,"50,804",Class II
Phaltan,Maharashtra,Municipal Council,"50,800",
Rampurhat,West Bengal,Municipality,"50,613",
Nanjangud,Karnataka,Town Municipal Council,"50,598",Class II
Forbesganj,Bihar,Municipality,"50,475",Class II
Tundla,Uttar Pradesh,Nagar Palika Parishad,"50,423",Class II
BhabUrban Agglomeration,Bihar,Nagar Panchayat,"50,179",Class II
Sagara,Karnataka,Town Municipal Council,"50,131",
Pithapuram,Andhra Pradesh,Municipality,"50,103",
Sira,Karnataka,Town Municipal Council,"50,088",
Bhadrachalam,Telangana,Census town,"50,087",Class II
Charkhi Dadri,Haryana,Nagar Palika Parishad,"49,985",Class III
Chatra,Jharkhand,Municipality,"49,985",Class III
Palasa Kasibugga,Andhra Pradesh,Nagar Panchayat,"49,899",
Nohar,Rajasthan,Municipality,"49,835",Class III
Yevla,Maharashtra,Municipal Council,"49,826",Class III
Sirhind Fatehgarh Sahib,Punjab,Municipal Council,"49,825",
Bhainsa,Telangana,Municipality,"49,764",Class III
Parvathipuram,Andhra Pradesh,Municipality,"49,714",
Shahade,Maharashtra,Municipal Council,"49,696",
Chalakudy,Kerala,Municipality,"49,525",Class III
Narkatiaganj,Bihar,Nagar Parishad,"49,507",Class III
Kapadvanj,Gujarat,Municipality,"49,308",Class III
Macherla,Andhra Pradesh,Municipality,"49,221",
Raghogarh-Vijaypur,Madhya Pradesh,Municipality,"49,173",
Rupnagar,Punjab,Municipal Council,"49,159",
Naugachhia,Bihar,Nagar Panchayat,"49,069",Class III
Sendhwa,Madhya Pradesh,Municipality,"48,941",
Byasanagar,Odisha,Municipality,"48,911",Class III
Sandila,Uttar Pradesh,Municipal board,"48,899",
Gooty,Andhra Pradesh,Census town,"48,658",Class III
Salur,Andhra Pradesh,Municipality,"48,354",
Nanpara,Uttar Pradesh,Nagar Palika Parishad,"48,337",Class III
Sardhana,Uttar Pradesh,Municipal board,"48,314",
Vita,Maharashtra,Municipal Council,"48,289",Class III
Gumia,Jharkhand,Census town,"48,141",Class III
Puttur,Karnataka,Town Municipal Council,"48,070",
Jalandhar Cantt.,Punjab,Cantonment Board / Cantonment,"47,845",Class III
Nehtaur,Uttar Pradesh,Nagar Palika Parishad,"47,834",Class III
Changanassery,Kerala,Municipality,"47,685",Class III
Mandapeta,Andhra Pradesh,Municipality,"47,638",
Dumka,Jharkhand,Notified area committee / Notified Area Council,"47,584",Class III
Seohara,Uttar Pradesh,Urban Agglomeration,"47,575",
Umarkhed,Maharashtra,Municipal Council,"47,458",Class III
Madhupur,Jharkhand,Municipality,"47,326",
Vikramasingapuram,Tamil Nadu,Municipality,"47,241",Class III
Punalur,Kerala,Municipality,"47,235",
Kendrapara,Odisha,Municipality,"47,006",Class III
Sihor,Gujarat,Municipality,"46,960",
Nellikuppam,Tamil Nadu,Municipality,"46,678",Class III
Samana,Punjab,Municipal Council,"46,592",
Warora,Maharashtra,Municipal Council,"46,532",Class III
Nilambur,Kerala,Census town,"46,366",Class III
Rasipuram,Tamil Nadu,Municipality,"46,330",
Ramnagar,Uttarakhand,Municipal board,"46,205",
Jammalamadugu,Andhra Pradesh,Nagar Panchayat,"46,069",Class III
Nawanshahr,Punjab,Municipal Council,"46,024",Class III
Thoubal,Manipur,Municipal Council,"45,947",Class III
Athni,Karnataka,Town Municipal Council,"45,858",Class III
Cherthala,Kerala,Municipality,"45,827",Class III
Sidhi,Madhya Pradesh,Municipality,"45,700",
Farooqnagar,Telangana,Census town.,"45,675",Class III
Peddapuram,Andhra Pradesh,Municipality,"45,520",
Chirkunda,Jharkhand,Nagar Panchayat,"45,508",Class III
Pachora,Maharashtra,Municipal Council,"45,333",
Madhepura,Bihar,Municipality,"45,031",
Pithoragarh,Uttarakhand,Municipal board,"44,964",
Tumsar,Maharashtra,Municipal Council,"44,869",Class III
Phalodi,Rajasthan,Urban Agglomeration,"44,868",
Tiruttani,Tamil Nadu,Municipality,"44,781",Class III
Rampura Phul,Punjab,Urban Agglomeration,"44,665",
Perinthalmanna,Kerala,Municipality,"44,612",
Padrauna,Uttar Pradesh,Municipal board,"44,383",
Pipariya,Madhya Pradesh,Urban Agglomeration,"44,378",
Dalli-Rajhara,Chhattisgarh,Municipality,"44,363",Class III
Punganur,Andhra Pradesh,Nagar Panchayat,"44,314",
Mattannur,Kerala,Municipality,"44,313",
Mathura,Uttar Pradesh,Municipality,"44,313",
Thakurdwara,Uttar Pradesh,Nagar Palika Parishad.,"44,255",Class III
Nandivaram-Guduvancheri,Tamil Nadu,Town Panchayat,"44,098",Class III
Mulbagal,Karnataka,Town Municipal Council,"44,033",
Manjlegaon,Maharashtra,Municipal Council,"44,029",
Wankaner,Gujarat,Municipality,"43,881",Class III
Sillod,Maharashtra,Municipal Council,"43,867",
Nidadavole,Andhra Pradesh,Municipality,"43,809",Class III
Surapura,Karnataka,Town Municipal Council,"43,622",
Rajagangapur,Odisha,Municipality,"43,594",
Sheikhpura,Bihar,Municipality,"43,113",
Parlakhemundi,Odisha,Municipality,"43,097",
Kalimpong,West Bengal,Municipality,"42,998",Class III
Siruguppa,Karnataka,Town Panchayat,"42,919",
Arvi,Maharashtra,Municipal Council,"42,822",Class III
Limbdi,Gujarat,Municipality,"42,769",Class III
Barpeta,Assam,Municipal board,"42,649",Class III
Manglaur,Uttarakhand,Municipal board,"42,584",
Repalle,Andhra Pradesh,Municipality,"42,539",
Mudhol,Karnataka,Town Municipal Council,"42,461",
Shujalpur,Madhya Pradesh,Municipality,"42,461",
Mandvi,Gujarat,Municipality,"42,355",
Thangadh,Gujarat,Municipality,"42,351",Class III
Sironj,Madhya Pradesh,Municipality,"42,179",
Nandura,Maharashtra,Municipal Council,"42,167",Class III
Shoranur,Kerala,Municipality,"42,029",
Nathdwara,Rajasthan,Municipality,"42,016",Class III
Periyakulam,Tamil Nadu,Municipality,"42,012",
Sultanganj,Bihar,Notified area,"41,958",
Medak,Telangana,Nagar Panchayat,"41,945",
Narayanpet,Telangana,Nagar Panchayat,"41,752",Class III
Raxaul Bazar,Bihar,Municipality,"41,610",
Rajauri,Jammu and Kashmir,Notified area committee / Notified Area Council,"41,552",
Pernampattu,Tamil Nadu,Town Panchayat,"41,499",
Nainital,Uttarakhand,Nagar Palika Parishad,"41,377",Class III
Ramachandrapuram,Andhra Pradesh,Municipality,"41,370",
Vaijapur,Maharashtra,Municipal Council,"41,296",Class III
Nangal,Punjab,Municipal Council,"41,172",Class III
Sidlaghatta,Karnataka,Town Municipal Council,"41,098",
Punch,Jammu and Kashmir,Municipal board,"40,987",
Pandhurna,Madhya Pradesh,Municipality,"40,931",
Wadgaon Road,Maharashtra,Census town.,"40,884",Class III
Talcher,Odisha,Municipality,"40,841",Class III
Varkala,Kerala,Municipality,"40,728",Class III
Pilani,Rajasthan,Urban Agglomeration,"40,590",
Nowgong,Madhya Pradesh,Municipality,"40,580",Class III
Naila Janjgir,Chhattisgarh,Municipality,"40,561",Class III
Mapusa,Goa,Municipal Council,"40,487",
Vellakoil,Tamil Nadu,Municipality,"40,359",Class III
Merta City,Rajasthan,Municipality,"40,252",
Sivaganga,Tamil Nadu,Urban Agglomeration,"40,220",
Mandideep,Madhya Pradesh,Municipality,"39,859",
Sailu,Maharashtra,Municipal Council,"39,851",
Vyara,Gujarat,Municipality,"39,789",Class III
Kovvur,Andhra Pradesh,Municipality,"39,667",Class III
Vadalur,Tamil Nadu,Town Panchayat,"39,514",Class III
Nawabganj,Uttar Pradesh,Nagar Palika Parishad,"39,241",Class III
Padra,Gujarat,Urban Agglomeration,"39,205",
Sainthia,West Bengal,Municipality,"39,145",
Siana,Uttar Pradesh,Municipal board,"38,999",
Shahpur,Karnataka,Town Municipal Council,"38,907",
Sojat,Rajasthan,Municipality,"38,883",
Noorpur,Uttar Pradesh,Nagar Palika Parishad,"38,806",Class III
Paravoor,Kerala,Municipality,"38,652",
Murtijapur,Maharashtra,Municipal Council,"38,554",
Ramnagar,Bihar,Notified area,"38,554",
Sundargarh,Odisha,Municipality,"38,421",
Taki,West Bengal,Municipality,"38,263",Class III
Saundatti-Yellamma,Karnataka,Town Municipal Council,"38,155",
Pathanamthitta,Kerala,Municipality,"38,009",
Wadi,Karnataka,Town Municipal Council,"37,988",Class III
Rameshwaram,Tamil Nadu,Town Panchayat,"37,968",
Tasgaon,Maharashtra,Municipal Council,"37,945",Class III
Sikandra Rao,Uttar Pradesh,Municipal board,"37,938",
Sihora,Madhya Pradesh,Municipality,"37,870",
Tiruvethipuram,Tamil Nadu,Municipality,"37,802",Class III
Tiruvuru,Andhra Pradesh,Municipality,"37,802",Class III
Mehkar,Maharashtra,Municipal Council,"37,715",
Peringathur,Kerala,Census town,"37,699",
Perambalur,Tamil Nadu,Town Panchayat,"37,631",
Manvi,Karnataka,Town Municipal Council,"37,613",
Zunheboto,Nagaland,Town Committee / Town Area Committee,"37,447",Class III
Mahnar Bazar,Bihar,Municipality,"37,370",
Attingal,Kerala,Municipality,"37,346",Class III
Shahbad,Haryana,Municipal Committee,"37,289",
Puranpur,Uttar Pradesh,Municipal board,"37,233",
Nelamangala,Karnataka,Town Municipal Council,"37,232",Class III
Nakodar,Punjab,Municipal Council,"36,973",Class III
Lunawada,Gujarat,Municipality,"36,954",Class III
Murshidabad,West Bengal,Municipality,"36,947",
Mahe,Puducherry,Municipality,"36,828",
Lanka,Assam,Municipal board,"36,805",Class III
Rudauli,Uttar Pradesh,Municipal board,"36,776",
Tuensang,Nagaland,Town Committee / Town Area Committee,"36,774",Class III
Lakshmeshwar,Karnataka,Town Municipal Council,"36,754",Class III
Zira,Punjab,Municipal Council,"36,732",Class III
Yawal,Maharashtra,Municipal Council,"36,706",Class III
Thana Bhawan,Uttar Pradesh,Nagar Panchayat.,"36,669",Class III
Ramdurg,Karnataka,Urban Agglomeration,"36,649",
Pulgaon,Maharashtra,Municipal Council,"36,522",
Sadasivpet,Telangana,Municipality,"36,334",
Nargund,Karnataka,Town Municipal Council,"36,291",Class III
Neem-Ka-Thana,Rajasthan,Municipality,"36,231",Class III
Memari,West Bengal,Municipality,"36,207",
Nilanga,Maharashtra,Municipal Council,"36,172",Class III
Naharlagun,Arunachal Pradesh,Notified Town,"36,158",Class III
Pakaur,Jharkhand,Municipality,"36,029",
Wai,Maharashtra,Municipal Council,"36,025",Class III
Tarikere,Karnataka,Town Municipal Council,"35,942",Class III
Malavalli,Karnataka,Town Municipal Council,"35,851",
Raisen,Madhya Pradesh,Municipality,"35,702",
Lahar,Madhya Pradesh,Nagar Panchayat,"35,674",Class III
Uravakonda,Andhra Pradesh,Census town,"35,565",Class III
Savanur,Karnataka,Town Municipal Council,"35,563",
Sirohi,Rajasthan,Municipality,"35,544",
Udhampur,Jammu and Kashmir,Urban Agglomeration,"35,507",Class III
Umarga,Maharashtra,Municipal Council,"35,477",Class III
Pratapgarh,Rajasthan,Municipality,"35,422",
Lingsugur,Karnataka,Town Municipal Council,"35,411",Class III
Usilampatti,Tamil Nadu,Municipality,"35,219",Class III
Palia Kalan,Uttar Pradesh,Municipal board,"35,029",
Wokha,Nagaland,Town Committee / Town Area Committee.,"35,004",Class III
Rajpipla,Gujarat,Municipality,"34,923",
Vijayapura,Karnataka,Town Municipal Council,"34,866",Class III
Rawatbhata,Rajasthan,Municipality,"34,690",
Sangaria,Rajasthan,Municipality,"34,537",
Paithan,Maharashtra,Municipal Council,"34,518",
Rahuri,Maharashtra,Municipal Council,"34,476",
Patti,Punjab,Municipal Council,"34,444",
Zaidpur,Uttar Pradesh,Nagar Panchayat,"34,443",Class III
Lalsot,Rajasthan,Municipality,"34,363",Class III
Maihar,Madhya Pradesh,Municipality,"34,342",
Vedaranyam,Tamil Nadu,Municipality,"34,266",Class III
Nawapur,Maharashtra,Municipal Council,"34,207",Class III
Solan,Himachal Pradesh,Municipal Council,"34,206",
Vapi,Gujarat,Industrial Notified Area,"34,162",Class III
Sanawad,Madhya Pradesh,Municipality,"34,114",
Warisaliganj,Bihar,Nagar Panchayat.,"34,056",Class III
Revelganj,Bihar,Municipality,"34,042",
Sabalgarh,Madhya Pradesh,Urban Agglomeration,"34,039",
Tuljapur,Maharashtra,Municipal Council,"34,011",Class III
Simdega,Jharkhand,Notified area,"33,981",
Musabani,Jharkhand,Census town,"33,980",
Kodungallur,Kerala,Municipality,"33,935",Class III
Phulabani,Odisha,Notified area committee / Notified Area Council,"33,890",
Umreth,Gujarat,Municipality,"33,762",Class III
Narsipatnam,Andhra Pradesh,Census town,"33,757",Class III
Nautanwa,Uttar Pradesh,Nagar Palika Parishad,"33,753",Class III
Rajgir,Bihar,Notified area,"33,738",
Yellandu,Telangana,Municipality,"33,732",Class III
Sathyamangalam,Tamil Nadu,Municipality,"33,722",
Pilibanga,Rajasthan,Municipality,"33,608",
Morshi,Maharashtra,Municipal Council,"33,607",
Pehowa,Haryana,Municipal Committee,"33,564",
Sonepur,Bihar,Notified area,"33,490",
Pappinisseri,Kerala,Census town,"33,273",
Zamania,Uttar Pradesh,Nagar Panchayat,"33,243",Class III
Mihijam,Jharkhand,Notified area,"33,236",
Purna,Maharashtra,Municipal Council,"33,225",
Puliyankudi,Tamil Nadu,Municipality,"33,187",
"Shikarpur, Bulandshahr",Uttar Pradesh,Municipal board,"33,187",
Umaria,Madhya Pradesh,Municipality,"33,114",Class III
Porsa,Madhya Pradesh,Municipality,"33,103",
Naugawan Sadat,Uttar Pradesh,Nagar Panchayat,"32,954",Class III
Fatehpur Sikri,Uttar Pradesh,Municipal board.,"32,905",Class III
Manuguru,Telangana,Census town,"32,893",
Udaipur,Tripura,Municipal Council,"32,758",Class III
Pipar City,Rajasthan,Municipality,"32,735",
Pattamundai,Odisha,Notified area committee / Notified Area Council,"32,730",
Nanjikottai,Tamil Nadu,Census town,"32,689",Class III
Taranagar,Rajasthan,Municipality,"32,640",Class III
Yerraguntla,Andhra Pradesh,Census town,"32,574",Class III
Satana,Maharashtra,Municipal Council,"32,561",
Sherghati,Bihar,Notified area,"32,526",
Sankeshwara,Karnataka,Town Municipal Council,"32,511",
Madikeri,Karnataka,Town Municipal Council,"32,496",
Thuraiyur,Tamil Nadu,Municipality,"32,439",Class III
Sanand,Gujarat,Municipality,"32,417",
Rajula,Gujarat,Municipality,"32,395",
Kyathampalle,Telangana,Census town,"32,385",Class III
"Shahabad, Rampur",Uttar Pradesh,Nagar Panchayat,"32,370",
Tilda Newra,Chhattisgarh,Municipality,"32,331",Class III
Narsinghgarh,Madhya Pradesh,Municipality,"32,329",Class III
Chittur-Thathamangalam,Kerala,Municipality,"32,298",Class III
Malaj Khand,Madhya Pradesh,Municipality,"32,296",
Sarangpur,Madhya Pradesh,Municipality,"32,294",
Robertsganj,Uttar Pradesh,Municipal board,"32,243",
Sirkali,Tamil Nadu,Municipality,"32,228",
Radhanpur,Gujarat,Municipality,"32,191",
Tiruchendur,Tamil Nadu,Town Panchayat,"32,171",Class III
Utraula,Uttar Pradesh,Nagar Palika Parishad.,"32,145",Class III
Patratu,Jharkhand,Census town,"32,134",
"Vijainagar, Ajmer",Rajasthan,Municipality,"32,124",Class III
Periyasemur,Tamil Nadu,Town Panchayat,"32,024",
Pathri,Maharashtra,Municipal Council,"32,001",
Sadabad,Uttar Pradesh,Nagar Panchayat,"31,742",
Talikota,Karnataka,Town Municipal Council,"31,693",Class III
Sinnar,Maharashtra,Municipal Council,"31,630",
Mungeli,Chhattisgarh,Urban Agglomeration,"31,613",
Sedam,Karnataka,Town Municipal Council,"31,539",
Shikaripur,Karnataka,Town Municipal Council,"31,516",
Sumerpur,Rajasthan,Municipality,"31,482",
Sattur,Tamil Nadu,Municipality,"31,443",
Sugauli,Bihar,Notified area,"31,432",
Lumding,Assam,Municipal board,"31,347",Class III
Vandavasi,Tamil Nadu,Municipality,"31,320",Class III
Titlagarh,Odisha,Notified area committee / Notified Area Council ,"31,258",Class III
Uchgaon,Maharashtra,Census town,"31,238",Class III
Mokokchung,Nagaland,Town Committee / Town Area Committee,"31,214",
Paschim Punropara,West Bengal,Census town,"31,198",
Sagwara,Rajasthan,Municipality,"31,127",
Ramganj Mandi,Rajasthan,Municipality,"30,973",
Tarakeswar,West Bengal,Municipality,"30,947",Class III
Mahalingapura,Karnataka,Town Municipal Council,"30,858",
Dharmanagar,Tripura,Municipal Council,"30,785",Class III
Mahemdabad,Gujarat,Municipality,"30,768",
Manendragarh,Chhattisgarh,Municipality,"30,758",
Uran,Maharashtra,Municipal Council,"30,439",Class III
Tharamangalam,Tamil Nadu,Town Panchayat,"30,222",Class III
Tirukkoyilur,Tamil Nadu,Town Panchayat,"30,212",Class III
Pen,Maharashtra,Municipal Council,"30,201",
Makhdumpur,Bihar,Notified area,"30,109",
Maner,Bihar,Notified area,"30,082",
Oddanchatram,Tamil Nadu,Town Panchayat,"30,064",Class III
Palladam,Tamil Nadu,Town Panchayat,"30,016",
Mundi,Madhya Pradesh,Nagar Panchayat,"30,000",
Nabarangapur,Odisha,Municipality,"29,960",Class III
Mudalagi,Karnataka,Town Municipal Council,"29,893",
Samalkha,Haryana,Municipal Committee,"29,866",
Nepanagar,Madhya Pradesh,Municipality,"29,682",Class III
Karjat,Maharashtra,Municipal Council,"29,663",Class III
Ranavav,Gujarat,Urban Agglomeration,"29,645",
Pedana,Andhra Pradesh,Nagar Panchayat,"29,613",
Pinjore,Haryana,Urban Agglomeration,"29,609",
Lakheri,Rajasthan,Municipality,"29,572",Class III
Pasan,Madhya Pradesh,Municipality,"29,565",
Puttur,Andhra Pradesh,Census town,"29,436",
Vadakkuvalliyur,Tamil Nadu,Town Panchayat,"29,417",Class III
Tirukalukundram,Tamil Nadu,Town Panchayat,"29,391",Class III
